candidateId,value,universidad homologada
630633fa1e599d0009d6dee0,Ucv,Universidad César Vallejo S.A.C.
630633fa1e599d0009d6dee0,José Gálvez,No Homologada
63063bda29da5b00089fb224,Universidad Peruana De Ciencias Aplicadas - Upc,Universidad Peruana de Ciencias Aplicadas S.A.C.
63063bda29da5b00089fb224,Centro Peruano De  Estudios Bancarios - Cepeban,No Homologada
630644da1e599d0009d6e2f4,Instituto De Formación Bancaria - Ifb,No Homologada
63064ec3d7fa700008e7ed19,Certus,No Homologada
63064fc2e86a980008de8c83,Cepeban,No Homologada
630653281e599d0009d6e817,Ifb Certus,No Homologada
63065b8529da5b00089fbb2f,Instituto Superior Sise,No Homologada
63065d9d0b25100008421575,Argentina,No Homologada
630665b8594e18004af047fc,Ifb Certus,No Homologada
630665b8594e18004af047fc,"I. E 00 María Auxiliadora, Cercado De Lima",No Homologada
630665b8594e18004af04803,Zegel Ipae,No Homologada
630665b8594e18004af04810,Instituto Superior Tecnologico Idat,No Homologada
630665b8594e18004af04816,Universidad Privada Del Norte - Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af0481e,Ifb Certus,No Homologada
630665b8594e18004af04825,Universidad Nacional Agraria La Molina,universidad nacional agraria la molina
630665b8594e18004af0482e,Instituto Superior Sise,No Homologada
630665b8594e18004af04835,Universidad Privada San Juan Bautista,universidad privada san juan bautista s.a.c.
630665b8594e18004af0483b,Instituto De Educación Superior Privado Certus,No Homologada
630665b8594e18004af04842,Universidad Peruana De Ciencias Aplicadas (upc),No Homologada
630665b8594e18004af0484f,Idat,No Homologada
630665b8594e18004af0484f,Manuel Scorza Torres,No Homologada
630665b8594e18004af04856,Instituto Cepeban,No Homologada
630665b8594e18004af0485d,Universidad De Ciencias Aplicadas,No Homologada
630665b8594e18004af04864,Universidad Peruana De Ciencias Aplicadas - Upc,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af0486d,Certus,No Homologada
630665b8594e18004af04876,Certus,No Homologada
630665b8594e18004af0487f,Sise,No Homologada
630665b8594e18004af04885,Ifb Certus,No Homologada
630665b8594e18004af0488c,Certus,No Homologada
630665b8594e18004af04893,San Juan De Siguas,No Homologada
630665b8594e18004af0489e,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af048a6,Universidad Nacional De San Agustín,No Homologada
630665b8594e18004af048ae,Alonso De Alvarado,No Homologada
630665b8594e18004af048b4,Ifb Certus,No Homologada
630665b8594e18004af048b4,Instituto Superior Sise,No Homologada
630665b8594e18004af048bd,Instituto Sise,No Homologada
630665b8594e18004af048c3,Instituto San Ignacio Del Loyola,No Homologada
630665b8594e18004af048ca,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af048ca,Atento,No Homologada
630665b8594e18004af048d7,Universidad Nacional Mayor De San Marcos,universidad nacional mayor de san marcos
630665b8594e18004af048df,Ifb Certus,No Homologada
630665b8594e18004af048df,Ie Jhon F Kennedy,No Homologada
630665b8594e18004af048e7,Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af048e7,Iestp Cepea,No Homologada
630665b8594e18004af048f0,Certus,No Homologada
630665b8594e18004af048f7,Certus Ifb,No Homologada
630665b8594e18004af048fe,Universidad Privada San Juan Bautista,universidad privada san juan bautista s.a.c.
630665b8594e18004af048fe,I.e.p.p San Vicente De Paúl-ica,No Homologada
630665b8594e18004af04907,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af0490e,Instituto San Ignacio De Loyola,No Homologada
630665b8594e18004af04915,Certus,No Homologada
630665b8594e18004af0491b,Certus,No Homologada
630665b8594e18004af04922,Instituto De Educación Superior Tecnológico Privado “khipu”,No Homologada
630665b8594e18004af04922,I.e.m. Diego Quispe Tito,No Homologada
630665b8594e18004af0492b,Uladech,No Homologada
630665b8594e18004af04933,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af0493a,Universidad Peruana De Ciencias Aplicada,universidad peruana de ciencias aplicadas s.a.c.
630665b8594e18004af04940,Cepeban,No Homologada
630665b8594e18004af04947,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af0494e,Sise,No Homologada
630665b8594e18004af0495a,San Ignacio De Loyola,universidad san ignacio de loyola s.r.l.
630665b8594e18004af04967,Certus,No Homologada
630665b8594e18004af04975,Universidad Particular De Chiclayo,No Homologada
630665b8594e18004af0497c,Cesca,universidad esan
630665b8594e18004af04982,Idat,No Homologada
630665b8594e18004af04982,Miguel Grau Seminario,No Homologada
630665b8594e18004af0498a,Universidad Nacional De Piura,universidad nacional de piura
630665b8594e18004af04991,Isil,No Homologada
630665b8594e18004af04999,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af0499f,Idat,No Homologada
630665b8594e18004af049a6,Ifb Certus,No Homologada
630665b8594e18004af049ad,Cibertec,No Homologada
630665b8594e18004af049ad,Instituto Idiomas Católica,No Homologada
630665b8594e18004af049b7,Universidad César Vallejo,No Homologada
630665b8594e18004af049bf,Iestp 4 De Junio De 82,No Homologada
630665b8594e18004af049bf,Universidad Nacional De Jaén,universidad nacional de jaén
630665b8594e18004af049c7,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af049dc,Certus,No Homologada
630665b8594e18004af049e5,Istp Perú Pacifico,No Homologada
630665b8594e18004af049ed,Universidad Nacional Mayor De San Marcos,universidad nacional mayor de san marcos
630665b8594e18004af049f4,Certus,No Homologada
630665b8594e18004af049fa,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04a00,Adex,No Homologada
630665b8594e18004af04a09,Certus,No Homologada
630665b8594e18004af04a12,Instituto Cepeban,No Homologada
630665b8594e18004af04a18,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04a1e,Certus,No Homologada
630665b8594e18004af04a24,Certus,No Homologada
630665b8594e18004af04a2b,I.e.s.t.p John Von Neumann,No Homologada
630665b8594e18004af04a33,Cepeban,No Homologada
630665b8594e18004af04a33,Computron,No Homologada
630665b8594e18004af04a3a,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af04a41,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04a41,Icpna,No Homologada
630665b8594e18004af04a4c,Cepeban,No Homologada
630665b8594e18004af04a54,Certus,No Homologada
630665b8594e18004af04a5a,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af04a61,Zegel Ipae,No Homologada
630665b8594e18004af04a68,Universidad San Ignacio De Loyola,universidad san ignacio de loyola s.r.l.
630665b8594e18004af04a71,Certus,No Homologada
630665b8594e18004af04a71,Instituto Telesup,No Homologada
630665b8594e18004af04a71,Intur Perú - Telesup,No Homologada
630665b8594e18004af04a7c,Universidad Inca Garcilaso De La Vega - Uigv,No Homologada
630665b8594e18004af04a89,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04a90,Idat,No Homologada
630665b8594e18004af04a97,I.e.leoncio Prado,No Homologada
630665b8594e18004af04aa0,Universidad César Vallejo,No Homologada
630665b8594e18004af04aa7,Universidad Privada Antenor Orrego,universidad privada antenor orrego
630665b8594e18004af04aaf,Universidad Ricardo Palma,universidad ricardo palma
630665b8594e18004af04ab6,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af04ab6,I.e.p. Fray Luis De León,No Homologada
630665b8594e18004af04ac5,Universidad Nacional Daniel Alcides Carrión,universidad nacional daniel alcides carrión
630665b8594e18004af04acf,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af04ad6,Certus,No Homologada
630665b8594e18004af04add,Certus,No Homologada
630665b8594e18004af04af5,Universidad Católica Sedes Sapientiae,universidad católica sedes sapientiae
630665b8594e18004af04afd,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04b05,Universidad Autónoma Del Perú,universidad autónoma del perú s.a.c.
630665b8594e18004af04b0c,Certus,No Homologada
630665b8594e18004af04b13,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04b1e,Pontificia Universidad Católica Del Perú,pontificia universidad católica del perú
630665b8594e18004af04b26,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04b2c,Iestp Simón Bolivar,No Homologada
630665b8594e18004af04b38,Certus,No Homologada
630665b8594e18004af04b40,Senati(independencia),No Homologada
630665b8594e18004af04b46,Certus,No Homologada
630665b8594e18004af04b4c,Instituto Certus,No Homologada
630665b8594e18004af04b54,Senati,No Homologada
630665b8594e18004af04b5c,Universidad César Vallejo,No Homologada
630665b8594e18004af04b63,Certus,No Homologada
630665b8594e18004af04b69,Alas Peruanas,No Homologada
630665b8594e18004af04b71,Universidad César Vallejo​,No Homologada
630665b8594e18004af04b77,Certus,No Homologada
630665b8594e18004af04b7e,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af04b84,Britanico,No Homologada
630665b8594e18004af04b90,Universidad Peruana Los Andes,universidad peruana los andes
630665b8594e18004af04b9a,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04ba2,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04ba9,Certus,No Homologada
630665b8594e18004af04bb3,Certus,No Homologada
630665b8594e18004af04bbb,Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04bbb,Isil,No Homologada
630665b8594e18004af04bc5,Certus,No Homologada
630665b8594e18004af04bcc,Instituto Cibertec,No Homologada
630665b8594e18004af04bda,Universidad Peruana De Ciencias Aplicadas,universidad peruana de ciencias aplicadas s.a.c.
630665b8594e18004af04be1,Zegel Ipae,No Homologada
630665b8594e18004af04be1,Instituto Tecnologico De Chile,No Homologada
630665b8594e18004af04bf4,Ifb Certus,No Homologada
630665b8594e18004af04bfa,Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af04c00,Icpna,No Homologada
630665b8594e18004af04c00,Torre Usil,No Homologada
630665b8594e18004af04c08,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af04c10,Universidad Tecnologica Del Peru,No Homologada
630665b8594e18004af04c19,Certus,No Homologada
630665b8594e18004af04c28,Universidad César Vallejo,No Homologada
630665b8594e18004af04c2e,Certus,No Homologada
630665b8594e18004af04c35,Certus,No Homologada
630665b8594e18004af04c3d,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04c45,Ibp  El Buen Pastor,No Homologada
630665b8594e18004af04c4c,Cibertec,No Homologada
630665b8594e18004af04c55,Icpna,No Homologada
630665b8594e18004af04c55,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af04c5f,Ifb Certus,No Homologada
630665b8594e18004af04c65,Universidad Cesar Vallejo - Ucv,Universidad César Vallejo S.A.C.
630665b8594e18004af04c6e,Instituto Cibertec,No Homologada
630665b8594e18004af04c77,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04c7f,Cetpro Computec Millenium,No Homologada
630665b8594e18004af04c86,Universidad Nacional Del Callao - Unac,universidad nacional del callao
630665b8594e18004af04c8f,Pucp,Pontificia Universidad Católica del Perú
630665b8594e18004af04c96,Universidad Autònoma Del Perù,universidad autónoma del perú s.a.c.
630665b8594e18004af04c96,Instituto Superior Tecnológico Público Julio César Tello,No Homologada
630665b8594e18004af04c9d,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04ca5,Universidad Autónoma Del Perú,universidad autónoma del perú s.a.c.
630665b8594e18004af04ca5,Iep San José De Los Balnearios Del Sur,No Homologada
630665b8594e18004af04cb1,Cesca,universidad esan
630665b8594e18004af04cb8,Isil,No Homologada
630665b8594e18004af04cc1,Universidad Andina Néstor Cáceres Velasquez,No Homologada
630665b8594e18004af04cc9,Icpna,No Homologada
630665b8594e18004af04cc9,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04cd1,Universidad Nacional Federico Villareal,universidad nacional federico villarreal
630665b8594e18004af04cd1,Icpna,No Homologada
630665b8594e18004af04cd8,Ipae,No Homologada
630665b8594e18004af04cd8,Jose De San Martin,No Homologada
630665b8594e18004af04ce2,César Vallejo - Lima,No Homologada
630665b8594e18004af04cef,Universidad Científica Del Sur,universidad científica del sur s.a.c.
630665b8594e18004af04cef,Adex,No Homologada
630665b8594e18004af04cfb,Instituto Arzobispo Loayza,No Homologada
630665b8594e18004af04cfb,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af04d04,Adex Instituto,No Homologada
630665b8594e18004af04d0b,Idat,No Homologada
630665b8594e18004af04d15,Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04d15,Instituto De Formación Bancaria - Ifb Certus,No Homologada
630665b8594e18004af04d20,Universidad San Martin De Porres,universidad de san martín de porres
630665b8594e18004af04d20,Computronic,No Homologada
630665b8594e18004af04d31,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04d3b,Universidad De San Martín De Porres,universidad de san martín de porres
630665b8594e18004af04d41,Universidad Nacional De San Agustín,No Homologada
630665b8594e18004af04d4b,Unap,Universidad Nacional de la Amazonía Peruana
630665b8594e18004af04d51,Instituto De Educación Superior Tecnológico Privado Acip,No Homologada
630665b8594e18004af04d5d,Isam,No Homologada
630665b8594e18004af04d63,Idat,No Homologada
630665b8594e18004af04d6a,Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04d79,Instituto Superior Tecnologico La Oroya,No Homologada
630665b8594e18004af04d81,Universidad Peruana Los Andes,universidad peruana los andes
630665b8594e18004af04d81,Andres A. Avelino Caceres,No Homologada
630665b8594e18004af04d8b,Universidad Peruana Los Andes,universidad peruana los andes
630665b8594e18004af04d91,Instituto Continental,No Homologada
630665b8594e18004af04d98,Sise,No Homologada
630665b8594e18004af04dab,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af04db3,Universidad Nacional De La Amazonia Peruana,universidad nacional de la amazonía peruana
630665b8594e18004af04dba,Unes- Esforspol,No Homologada
630665b8594e18004af04dc0,Certus,No Homologada
630665b8594e18004af04dc6,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af04dd1,Instituto De Educación Superior De Perumaster,No Homologada
630665b8594e18004af04dd7,Netzun,No Homologada
630665b8594e18004af04dd7,Instituto Nacional De Estadística E Informática - Inei,No Homologada
630665b8594e18004af04de5,I.s.t.p Cepea,No Homologada
630665b8594e18004af04dee,Universidad Nacional De La Amazonia Peruana,universidad nacional de la amazonía peruana
630665b8594e18004af04dee,Ceps. Virgen De Loreto,No Homologada
630665b8594e18004af04df6,Sabio Nacional Antúnez De Mayolo,universidad nacional santiago antúnez de mayolo
630665b8594e18004af04e02,Certus,No Homologada
630665b8594e18004af04e02,Certus,No Homologada
630665b8594e18004af04e0b,Utp - Universidad Tecnológica Del Perú,No Homologada
630665b8594e18004af04e0b,Icpna,No Homologada
630665b8594e18004af04e14,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af04e1b,Universidad Nacional De La Amazonia Peruana,universidad nacional de la amazonía peruana
630665b8594e18004af04e1b,San Francisco De Asís,No Homologada
630665b8594e18004af04e29,Universidad Nacional Daniel Alcides Carrión - Undac,universidad nacional daniel alcides carrión
630665b8594e18004af04e29,Universidad Privada Telesup,No Homologada
630665b8594e18004af04e33,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04e3e,Universidad Alas Peruanas,No Homologada
630665b8594e18004af04e4a,Universidad Nacional De Tumbes,universidad nacional de tumbes
630665b8594e18004af04e52,Universidad Nacional De Educación Enrique Guzmán Y Valle - La Cantuta,universidad nacional de educación enrique guzmán y valle
630665b8594e18004af04e59,Universidad San Martin De Porres,universidad de san martín de porres
630665b8594e18004af04e64,Universidad Nacional De Tumbes,universidad nacional de tumbes
630665b8594e18004af04e6b,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04e71,Sise,No Homologada
630665b8594e18004af04e7a,Iestp Argentina,No Homologada
630665b8594e18004af04e82,Telesup,No Homologada
630665b8594e18004af04e8e,Universidad Tecnológica Del Perú - Utp,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04ea0,Idat,No Homologada
630665b8594e18004af04ea0,I.e. Virgen Del Morro Solar,No Homologada
630665b8594e18004af04ea8,Administracion De Empresas,No Homologada
630665b8594e18004af04eae,Sise,No Homologada
630665b8594e18004af04eb5,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af04eb5,Británico,No Homologada
630665b8594e18004af04ebd,Certus,No Homologada
630665b8594e18004af04ebd,N°3 Monitor Huascar,No Homologada
630665b8594e18004af04ed2,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04ed2,Eiger,No Homologada
630665b8594e18004af04eda,Universidad Del Pacifico,universidad del pacífico
630665b8594e18004af04ee0,Modern Systems,No Homologada
630665b8594e18004af04ee7,Idat,No Homologada
630665b8594e18004af04eef,Idat,No Homologada
630665b8594e18004af04ef5,Enrique Guzmán Y Valle,No Homologada
630665b8594e18004af04ef5,Cesar Vallejo,No Homologada
630665b8594e18004af04efc,Universidad Nacional Daniel Alcides Carrión,universidad nacional daniel alcides carrión
630665b8594e18004af04f03,Certus,No Homologada
630665b8594e18004af04f11,Universidad Alas Peruanas,No Homologada
630665b8594e18004af04f1d,Pedro A. Del Águila Hidalgo,No Homologada
630665b8594e18004af04f24,Cibertec,No Homologada
